success,spl,distance_to_goal,object_goal
0.0,0.0,1.6386768817901611,toilet
0.0,0.0,8.870565414428711,plant
0.0,0.0,8.679328918457031,bed
0.0,0.0,4.752889633178711,chair
0.0,0.0,8.286828994750977,sofa
1.0,0.22671929739559823,0.021101880818605423,toilet
1.0,0.528565106648978,0.017931515350937843,bed
0.0,0.0,6.133296966552734,bed
1.0,0.2677583889984821,0.023415490984916687,chair
0.0,0.0,3.5226926803588867,plant
1.0,0.14339706559692056,0.15460267663002014,chair
0.0,0.0,4.019852638244629,sofa
0.0,0.0,4.1012372970581055,toilet
0.0,0.0,2.7871041297912598,chair
0.0,0.0,0.2682528793811798,sofa
1.0,0.2673746861476919,0.8213632702827454,chair
0.0,0.0,5.7927937507629395,plant
1.0,0.3779989254034673,0.15365760028362274,sofa
0.0,0.0,6.257089614868164,bed
0.0,0.0,1.9424819946289062,tv_monitor
